Unnamed: 0,source_dataset,node,source_workflow,process,runtime_s,peak_mem,energy_j,rchar,cpus,concurrent_task_count,cores,ram,cpu_benchmark,io_read,io_write,task_type
7040.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,9000.0,22110208.0,1228.8263,,2.0,6.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7041.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,21491712.0,879.355,,2.0,7.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7042.0,augur_hu,hu-c45,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,10000.0,22011904.0,1468.2814,,2.0,8.0,32.0,256.0,1066.66,420.0,499.0,SAMTOOLS_INDEX
7043.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,6000.0,21377024.0,935.9174,,2.0,5.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7044.0,augur_hu,hu-c45,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,21268480.0,1008.6768,,2.0,6.0,32.0,256.0,1066.66,420.0,499.0,SAMTOOLS_INDEX
7045.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,8000.0,21471232.0,1493.7191,,2.0,3.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7046.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,6000.0,21663744.0,861.2149,,2.0,5.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7047.0,augur_hu,hu-c45,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7000.0,21381120.0,934.6469,,2.0,7.0,32.0,256.0,1066.66,420.0,499.0,SAMTOOLS_INDEX
7048.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,6000.0,20590592.0,715.2873,,2.0,3.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7049.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,6000.0,22169600.0,810.3113,,2.0,7.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7050.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,7500.0,21211136.0,973.4587,,2.0,5.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
7051.0,augur_hu,hu-c44,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,6000.0,21114880.0,745.3498,,2.0,5.0,32.0,256.0,1070.4,421.0,492.0,SAMTOOLS_INDEX
7052.0,augur_hu,hu-c40,chipseq,NFCORE_CHIPSEQ:CHIPSEQ:FILTER_BAM_BAMTOOLS:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX,8000.0,20815872.0,1233.3257,,2.0,4.0,32.0,256.0,1056.95,1362.0,952.0,SAMTOOLS_INDEX
