AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.3.521.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,1000 milli-seconds
Profile Start Time:,Sep-02-2026_01-30-25,
Profile Duration:,4000 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
189,1:33:35:567,   28.40,    3.29,    4.69,    1.47,    4.50,    4.88,    2.99
190,1:33:36:574,   25.92,    3.21,    4.51,    2.62,    4.30,    4.91,    2.66
191,1:33:37:582,   24.48,    2.80,    4.35,    1.92,    4.08,    4.61,    2.14
192,1:33:38:581,   28.02,    3.21,    3.90,    1.56,    4.41,    3.97,    2.83
193,1:33:39:585,   28.95,    3.48,    4.62,    2.12,    4.46,    4.91,    2.97
194,1:33:40:588,   24.21,    2.96,    5.21,    2.17,    4.31,    5.17,    2.57
195,1:33:41:593,   26.16,    3.05,    3.84,    1.99,    4.10,    3.80,    2.23
196,1:33:42:596,   29.07,    3.55,    4.80,    1.33,    4.50,    4.64,    3.08
197,1:33:43:603,   27.79,    3.40,    4.76,    2.54,    4.40,    4.79,    2.88
198,1:33:44:611,   23.85,    2.74,    4.95,    2.28,    4.36,    4.61,    2.12
199,1:33:45:618,   27.80,    3.08,    3.94,    1.48,    4.32,    3.82,    2.47
200,1:33:46:622,   29.91,    3.32,    4.85,    2.07,    4.55,    4.64,    3.09
201,1:33:47:627,   27.47,    3.33,    4.89,    3.58,    4.58,    4.89,    3.13
202,1:33:48:636,   25.71,    2.64,    4.19,    3.01,    4.36,    4.27,    1.79
203,1:33:49:636,   28.62,    3.48,    4.16,    1.70,    5.30,    4.12,    2.89
204,1:33:50:642,   27.35,    3.09,    4.13,    2.67,    4.80,    4.56,    2.93
205,1:33:51:643,   27.70,    3.60,    4.32,    2.46,    4.55,    4.46,    3.12
206,1:33:52:653,   26.59,    3.23,    4.20,    3.39,    4.32,    4.18,    2.95
207,1:33:53:657,   27.70,    3.32,    4.21,    2.99,    4.47,    3.95,    2.75
208,1:33:54:661,   27.54,    3.32,    4.38,    2.89,    4.48,    4.10,    2.90
209,1:33:55:665,   30.36,    3.75,    4.40,    2.89,    4.62,    4.43,    3.86
210,1:33:56:672,   27.35,    3.17,    4.72,    3.27,    4.51,    4.94,    2.87
211,1:33:57:678,   27.08,    3.18,    4.28,    3.17,    4.46,    4.02,    2.83
212,1:33:58:680,   26.63,    3.16,    4.20,    3.02,    4.48,    4.20,    2.89
213,1:33:59:682,   25.47,    3.08,    4.04,    2.87,    4.48,    3.98,    2.72
214,1:34:0:686,   26.83,    3.39,    4.19,    2.45,    4.21,    3.94,    2.94
215,1:34:1:695,   26.66,    3.26,    4.36,    2.61,    4.11,    4.29,    2.84
216,1:34:2:699,   25.71,    3.07,    4.71,    2.47,    4.27,    4.24,    2.67
217,1:34:3:706,   27.64,    3.43,    4.38,    2.39,    4.15,    4.06,    3.08
