source_dataset,node,source_workflow,process,runtime_s,peak_mem,energy_j,rchar,cpus,concurrent_task_count,cores,ram,cpu_benchmark,io_read,io_write
augur_gu,gpgnode-13,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,267000.0,5694377984.0,20240.0101,5235995548.0,6.0,0.0,32.0,64.0,305.89,97.6,90.6
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT,271000.0,5694734336.0,21994.311,5235995495.5,6.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,334000.0,8604942336.0,35892.00195,9011683080.5,12.0,0.0,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,324000.0,8575483904.0,37525.8021,9011683008.0,12.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,542000.0,8499134464.0,65769.4126,11770293726.0,12.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,541000.0,8444420096.0,53464.96275,11770293738.5,12.0,0.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,1564000.0,8172568576.0,176251.1919,28613927071.0,12.0,0.0,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,1552000.0,8170692608.0,192857.8446,28613927064.0,12.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,1569000.0,8171339776.0,158937.6087,28613927131.0,12.0,0.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,1275000.0,8202067968.0,143839.7262,24543648882.0,12.0,0.0,32.0,64.0,306.01,109.0,90.9
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,1278000.0,8202113024.0,158746.5143,24543648805.0,12.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,777000.0,7416631296.0,97611.9102,24594524229.0,12.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,787500.0,7421663232.0,79987.8692,24594524240.0,12.0,0.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-15,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,751000.0,7441731584.0,93687.6603,23732224275.0,12.0,0.0,32.0,64.0,305.84,109.0,90.8
augur_gu,gpgnode-16,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM,750000.0,7416322048.0,75935.46609999999,23732224284.5,12.0,0.0,32.0,64.0,306.15,109.0,91.4
augur_gu,gpgnode-14,atacseq,NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,308000.0,1215176704.0,18629.1609,477201486.0,6.0,1.0,32.0,64.0,306.01,109.0,90.9
