Label,Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed,source_machine,source_workflow
train-1,asok01,atacseq,9399126,MERGED_LIB_BAM_REMOVE_ORPHAN,466177547,144494,127.5,2552655872,2313012661,931032525,6,513646592,931299328,6042750976,17179869184,2733637632,958869052,958869052,1761479256,a1,atacseq
train-1,asok01,atacseq,73600,MERGED_LIB_BAM_REMOVE_ORPHAN,3653358,1896,88.4,22355968,22837730,9902272,6,7172096,9924608,33370112,17179869184,22355968,10116802,10116802,13791968,a1,atacseq
test,asok01,atacseq,75192126,MERGED_LIB_BAM_REMOVE_ORPHAN,3259653689,1083819,139.4,5413662720,18465983794,9259453017,6,3592638464,9261416448,6421917696,17179869184,5603426304,6494455400,6494455400,14091675276,a1,atacseq
train-1,asok01,atacseq,587600,MERGED_LIB_BAM_REMOVE_ORPHAN,29105620,10017,120.4,170221568,159881836,65301250,6,35606528,65331200,5921112064,17179869184,177610752,67065184,67065184,110119968,a1,atacseq
train-1,asok01,atacseq,293800,MERGED_LIB_BAM_REMOVE_ORPHAN,14554208,5028,121.2,91897856,81941018,33914270,6,16195584,33935360,5847711744,17179869184,91897856,34851263,34851263,55059168,a1,atacseq
train-1,asok01,atacseq,18798126,MERGED_LIB_PLOTFINGERPRINT,931822514,87940,478.5,1167986688,22448238525,5367127,8,65036288,1351680,2237980672,17179869184,1167986688,824956289,824956289,3522936056,a1,atacseq
train-1,asok01,atacseq,18798126,MERGED_LIB_BIGWIG,931822514,181279,126.5,2013085696,2968385119,1511905378,6,4567040,1149112320,2031964160,17179869184,2013442048,824957092,824957092,3522936056,a1,atacseq
train-1,asok01,atacseq,18798126,MERGED_LIB_MACS2,931822514,275562,114.6,292212736,3590551769,1952228329,6,4947968,630050816,641110016,17179869184,359456768,824957581,824957581,3522936056,a1,atacseq
train-1,asok01,atacseq,18798126,MERGED_LIB_PICARD_METRICS,931822514,183451,102.8,1408626688,4018319612,811867,6,324378624,1003520,20962144256,17179869184,1408626688,3982564327,3982564327,3522936056,a1,atacseq
train-1,asok01,atacseq,1175000,MERGED_LIB_PLOTFINGERPRINT,58238751,34231,352.4,992845824,6069726988,4587348,8,0,573440,2261798912,17179869184,992845824,64173602,64173602,220203968,a1,atacseq
train-1,asok01,atacseq,1175000,MERGED_LIB_BIGWIG,58238751,43160,106.7,2005688320,162341852,66588934,6,0,46178304,2031964160,17179869184,2013253632,64174393,64174393,220203968,a1,atacseq
train-1,asok01,atacseq,1175000,MERGED_LIB_MACS2,58238751,16055,121.7,71680000,252313797,128942621,6,0,43884544,405712896,17179869184,80797696,64174882,64174882,220203968,a1,atacseq
train-1,asok01,atacseq,1175000,MERGED_LIB_PICARD_METRICS,58238751,37295,131.8,1549582336,3256631804,800545,6,57344,876544,21496758272,17179869184,1549582336,3221781640,3221781640,220203968,a1,atacseq
train-1,asok01,atacseq,37596126,MERGED_LIB_PLOTFINGERPRINT,1862380804,103974,570.0,1018585088,30949952115,5715339,8,0,1699840,2219548672,17179869184,1018585088,1533044068,1533044068,7045849256,a1,atacseq
train-1,asok01,atacseq,37596126,MERGED_LIB_MACS2,1862380804,541826,114.0,510152704,6732767051,3680451259,6,36864,1122263040,870064128,17179869184,651915264,1533045362,1533045362,7045849256,a1,atacseq
train-1,asok01,atacseq,37596126,MERGED_LIB_BIGWIG,1862380804,308221,130.5,2013503488,5654792127,2897751209,6,90112,2209181696,2031964160,17179869184,2013949952,1533044873,1533044873,7045849256,a1,atacseq
train-1,asok01,atacseq,37596126,MERGED_LIB_PICARD_METRICS,1862380804,300926,104.1,1209024512,4726924667,814807,6,0,1077248,20961628160,17179869184,1209024512,4690652106,4690652106,7045849256,a1,atacseq
train-1,asok01,atacseq,2349800,MERGED_LIB_PLOTFINGERPRINT,116545329,40488,368.3,831270912,7774807210,4681404,8,0,667648,2275135488,17179869184,1076584448,121664101,121664101,440371968,a1,atacseq
train-1,asok01,atacseq,2349800,MERGED_LIB_BIGWIG,116545329,52743,112.3,2011271168,338337788,145722038,6,0,101552128,2031964160,17179869184,2013220864,121664897,121664897,440371968,a1,atacseq
train-1,asok01,atacseq,2349800,MERGED_LIB_MACS2,116545329,33099,118.0,85897216,498297843,262528171,6,4096,91598848,420700160,17179869184,98177024,121665386,121665386,440371968,a1,atacseq
